,initial_value,final_value,absolute_increase,percentage_increase,CAGR_percent
HP_assembly,6754731.59,17864419.93,11109688.34,164.5,7.8
HP_transport,549369.5,4694024.45,4144654.96,754.4,17.9
Copper_mining,1785698.85,5567043.92,3781345.07,211.8,9.1
HEX_manufacturing,5061350.0,8829800.0,3768450.0,74.5,4.4
Compressor_transport,471077.94,3758480.88,3287402.95,697.8,17.3
HEX_transport,410412.55,3677386.85,3266974.29,796.0,18.4
Compressor_manufacturing,12104170.0,14792429.0,2688259.0,22.2,1.6
Steel_production,1015027.17,3245900.29,2230873.12,219.8,9.4
Aluminium_production,733148.82,2342443.03,1609294.21,219.5,9.3
Nickel_mining,439316.27,1671184.37,1231868.1,280.4,10.8
Aluminium_transport,255299.52,1121721.57,866422.05,339.4,12.1
Refrigerant_transport,33638.63,390501.05,356862.42,1060.9,20.8
Copper_refinement,154308.63,481483.42,327174.8,212.0,9.1
Iron_mining,88916.96,280168.14,191251.18,215.1,9.2
Bauxite_mining,54996.68,176583.94,121587.26,221.1,9.4
Bauxite_transport,3915.03,36827.41,32912.38,840.7,18.8
Iron_transport,6934.01,26168.26,19234.25,277.4,10.8
Copper_ore_transport,726.02,2696.29,1970.27,271.4,10.6
Nickel_transport,126.33,475.11,348.77,276.1,10.7
Nickel_storage,0.0,0.0,0.0,0.0,0.0
Nickel_recycling,0.0,0.0,0.0,0.0,0.0
Steel_storage,0.0,0.0,0.0,0.0,0.0
HEX_storage,0.0,0.0,0.0,0.0,0.0
Iron_storage,0.0,0.0,0.0,0.0,0.0
HP_storage,0.0,0.0,0.0,0.0,0.0
Aluminium_storage,0.0,0.0,0.0,0.0,0.0
Copper_transport,0.0,0.0,0.0,0.0,0.0
Copper_storage,0.0,0.0,0.0,0.0,0.0
Copper_recycling,0.0,0.0,0.0,0.0,0.0
Compressor_storage,0.0,0.0,0.0,0.0,0.0
Bauxite_storage,0.0,0.0,0.0,0.0,0.0
Steel_transport,0.0,0.0,0.0,0.0,0.0
