,avg_contribution_base,avg_contribution_S1,avg_contribution_S2,avg_contribution_S3,avg_contribution_S4,avg_contribution_S5
HP_assembly,55.1,55.2,52.3,55.2,55.2,65.1
HEX_manufacturing,30.9,30.8,32.3,30.8,30.8,15.9
Compressor_manufacturing,14.0,13.9,15.4,13.9,13.9,11.9
Aluminium_production,0.0,0.0,0.0,0.0,0.0,0.0
Compressor_storage,0.0,0.0,0.0,0.0,0.0,0.0
Nickel_transport,0.0,0.0,0.0,0.0,0.0,0.0
Refrigerant_transport,0.0,0.0,0.0,0.0,0.0,0.0
Steel_transport,0.0,0.0,0.0,0.0,0.0,0.0
Aluminium_storage,0.0,0.0,0.0,0.0,0.0,0.0
Bauxite_storage,0.0,0.0,0.0,0.0,0.0,0.0
HEX_storage,0.0,0.0,0.0,0.0,0.0,0.0
Copper_storage,0.0,0.0,0.0,0.0,0.0,0.0
HP_transport,0.0,0.0,0.0,0.0,0.0,0.0
HP_storage,0.0,0.0,0.0,0.0,0.0,0.0
Iron_storage,0.0,0.0,0.0,0.0,0.0,0.0
Nickel_storage,0.0,0.0,0.0,0.0,0.0,0.0
Iron_transport,0.0,0.0,0.0,0.0,0.0,0.0
Copper_transport,0.0,0.0,0.0,0.0,0.0,0.0
HEX_transport,0.0,0.0,0.0,0.0,0.0,0.0
Bauxite_mining,0.0,0.0,0.0,0.0,0.0,0.0
Copper_ore_transport,0.0,0.0,0.0,0.0,0.0,0.0
Compressor_transport,0.0,0.0,0.0,0.0,0.0,0.0
Bauxite_transport,0.0,0.0,0.0,0.0,0.0,0.0
Aluminium_transport,0.0,0.0,0.0,0.0,0.0,0.0
Steel_production,0.0,0.0,0.0,0.0,0.0,0.0
Nickel_recycling,0.0,0.0,0.0,0.0,0.0,0.0
Nickel_mining,0.0,0.0,0.0,0.0,0.0,0.0
Iron_mining,0.0,0.0,0.0,0.0,0.0,0.0
Copper_refinement,0.0,0.0,0.0,0.0,0.0,0.0
Copper_recycling,0.0,0.0,0.0,0.0,0.0,0.0
Copper_mining,0.0,0.0,0.0,0.0,0.0,0.0
Steel_storage,0.0,0.0,0.0,0.0,0.0,0.0
